,Unemployment Insurance: Jobless Claims: Initial
Region,United States
Frequency,Weekly beginning at Saturday
Unit,Person th
Source,US Department of Labor
Status,Active
Series ID,298084001 (UGFEAA)
SR Code,SR4526209
Function Information,
First Obs. Date,7/1/1967
Last Obs. Date,29/09/2018
Last Update Time,4/10/2018
Remarks,
Suggestions,
Mean,353.309037
Variance,13516.98812
Standard Deviation,116.2625826
Skewness,1.235564255
Kurtosis,2.624930684
Coefficient Variation,0.329067673
Min,133
Max,1073.5
Median,332.2305
No. of Obs,2700
15/04/1989,275.24
22/04/1989,271.002
29/04/1989,247.646
6/5/1989,275.425
13/05/1989,275.507
20/05/1989,260.543
27/05/1989,266.146
3/6/1989,243.246
10/6/1989,295.499
17/06/1989,285.589
24/06/1989,295.338
1/7/1989,319.577
8/7/1989,364.594
15/07/1989,423.847
22/07/1989,365.026
29/07/1989,320.773
5/8/1989,311.584
12/8/1989,291.429
19/08/1989,261.419
26/08/1989,254.488
2/9/1989,259.54
9/9/1989,239.989
16/09/1989,271.903
23/09/1989,262.895
30/09/1989,265.31
7/10/1989,375.972
14/10/1989,284.584
21/10/1989,315.473
28/10/1989,317.538
4/11/1989,336.759
11/11/1989,303.556
18/11/1989,377.814
25/11/1989,316.458
2/12/1989,443.684
9/12/1989,426.514
16/12/1989,420.795
23/12/1989,534.261
30/12/1989,515.926
6/1/1990,581.679
13/01/1990,730.995
20/01/1990,485.424
27/01/1990,440.748
3/2/1990,432.922
10/2/1990,429.764
17/02/1990,364.616
24/02/1990,341.969
3/3/1990,361.937
10/3/1990,355.935
17/03/1990,325.164
24/03/1990,306.391
31/03/1990,297.117
7/4/1990,372.079
14/04/1990,315.624
21/04/1990,324.936
28/04/1990,294.785
5/5/1990,304.16
12/5/1990,299.266
19/05/1990,287.082
26/05/1990,295.476
2/6/1990,273.91
9/6/1990,321.727
16/06/1990,305.69
23/06/1990,316.999
30/06/1990,326.407
7/7/1990,419.256
14/07/1990,448.952
21/07/1990,407.676
28/07/1990,353.149
4/8/1990,336.997
11/8/1990,330.678
18/08/1990,313.804
25/08/1990,302.267
1/9/1990,305.51
8/9/1990,277.768
15/09/1990,323.246
22/09/1990,306.549
29/09/1990,308.08
6/10/1990,361.538
13/10/1990,356.203
20/10/1990,387.444
27/10/1990,394.598
3/11/1990,424.771
10/11/1990,463.874
17/11/1990,433.003
24/11/1990,422.676
1/12/1990,568.583
8/12/1990,574.323
15/12/1990,523.403
22/12/1990,637.449
29/12/1990,649.471
5/1/1991,651.775
12/1/1991,872.742
19/01/1991,691.092
26/01/1991,511.36
2/2/1991,563.06
9/2/1991,574.76
16/02/1991,498.2
23/02/1991,492.325
2/3/1991,504.023
9/3/1991,514.41
16/03/1991,470.801
23/03/1991,477.877
30/03/1991,412.904
6/4/1991,448.082
13/04/1991,459.364
20/04/1991,433.912
27/04/1991,385.153
4/5/1991,384.458
11/5/1991,382.113
18/05/1991,366.492
25/05/1991,365.117
1/6/1991,320.632
8/6/1991,397.682
15/06/1991,369.074
22/06/1991,371.232
29/06/1991,370.372
6/7/1991,427.161
13/07/1991,517.888
20/07/1991,454.655
27/07/1991,408.098
3/8/1991,397.522
10/8/1991,385.74
17/08/1991,344.969
24/08/1991,329.287
31/08/1991,328.04
7/9/1991,302.187
14/09/1991,342.419
21/09/1991,333.11
28/09/1991,334.206
5/10/1991,366.862
12/10/1991,388.37
19/10/1991,344.189
26/10/1991,380.253
2/11/1991,427.789
